HSN Code,Description,Rate (%),CESS (%),Effective Date,Rate Revision
63062100,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS TENTS: OF COTTON",12%,,15/11/2017        1/07/2017,
63062200,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS TENTS: OF SYNTHETIC FIBRES",12%,,15/11/2017        1/07/2017,
630629,OF OTHER TEXTILE MATERIALS,12%,,15/11/2017        1/07/2017,
63062910,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS TENTS: OF OTHER TEXTILE MATERIALS: OF JUTE",12%,,15/11/2017        1/07/2017,
63062990,OTHERS,12%,,15/11/2017        1/07/2017,
63063000,SAILS,12%,,15/11/2017        1/07/2017,
63063100,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS SAILS: OF SYNTHETIC FIBRES",12%,,15/11/2017        1/07/2017,
63063910,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS SAILS: OF OTHER TEXTILE MATERIALS: OF COTTON",12%,,15/11/2017        1/07/2017,
63063990,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS SAILS: OF OTHER TEXTILE MATERIALS: OTHER",12%,,15/11/2017        1/07/2017,
630640,PNEUMATIC MATTRESSES,12%,,15/11/2017        1/07/2017,
63064000,PNEUMATIC MATTRESSES,12%,,15/11/2017        1/07/2017,
63064100,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS PNEUMATIC MATTRESSES: OF COTTON",12%,,15/11/2017        1/07/2017,
63064900,"TARPAULINS, AWNINGS AND SUNBLINDS; TENTS; SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT; CAMPING GOODS PNEUMATIC MATTRESSES: OF OTHER TEXTILE MATERIALS",12%,,15/11/2017        1/07/2017,
630690,OTHER,12%,,15/11/2017        1/07/2017,
63069010,"TARPAULINS, AWNINGS AND SUNBLINDS;TENTS;SAILS FOR BOATS,SAILBOARDS OR LANDCRAFT;CAMPING GOODS-OTHER---OF COTTON",12%,,15/11/2017        1/07/2017,
63069090,"TARPAULINS, AWNINGS AND SUNBLINDS;TENTS;SAILS FOR BOATS,SAILBOARDS OR LANDCRAFT;CAMPING GOODS-OTHER---OF OTHER TEXTILE MATERIALS",12%,,15/11/2017        1/07/2017,
6307,"OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS(sale value not exceeding Rs. 1000 per piece)",5%,,01/07/2017,
6307,"OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS(sale value exceeding Rs. 1000 per piece)",12%,,15/11/2017        1/07/2017,
